Description|from_url|to_url|flags
No description|^(?i)faith-for-culture/?$|https://info.classicalconversations.com/faith-for-culture| [R=302, L]|
No description|^(?i)cohort-interest/?$|https://info.classicalconversations.com/cohort-interest| [R=302, L]|
No description|^(?i)hslda-leader/?$|https://info.classicalconversations.com/hslda-leader| [R=302, L]|
No description|^(?i)circe-2021/?$|https://info.classicalconversations.com/circe-2021| [R=302, L]|
No description|^(?i)rugby-robert/?$|https://info.classicalconversations.com/rugby-robert| [R=302, L]|
No description|^(?i)gec/?$|https://info.classicalconversations.com/gec| [R=302, L]|
No description|^(?i)2021-momcon/?$|https://info.classicalconversations.com/2021-momcon| [R=302, L]|
No description|^(?i)2021-flf/?$|https://info.classicalconversations.com/2021-flf| [R=302, L]|
No description|^(?i)2021-hc/?$|https://info.classicalconversations.com/2021-hc| [R=302, L]|
No description|^(?i)you-can/?$|https://info.classicalconversations.com/you-can| [R=302, L]|
No description|^(?i)paideia-nw/?$|https://info.classicalconversations.com/paideia-nw| [R=302, L]|
No description|^(?i)ahg-winter-22/?$|https://info.classicalconversations.com/ahg-winter-22| [R=302, L]|
No description|^(?i)story/?$|https://vimeo.com/594728658| [R=302, L]|
No description|^(?i)2021-motb/?$|https://info.classicalconversations.com/2021-motb| [R=302, L]|
No description|^(?i)lifefirst-va/?$|https://info.classicalconversations.com/lifefirst-va| [R=302, L]|
No description|^(?i)yesyoucan/?$|https://info.classicalconversations.com/yesyoucan| [R=302, L]|
No description|^(?i)benefits/?$|https://info.classicalconversations.com/benefits| [R=302, L]|
No description|^(?i)2021-fl-alliance/?$|https://info.classicalconversations.com/2021-fl-alliance| [R=302, L]|
No description|^(?i)advertising/?$|https://info.classicalconversations.com/advertising| [R=302, L]|
No description|^(?i)community-now/?$|https://info.classicalconversations.com/community-now| [R=302, L]|
No description|^(?i)cc-near-me/?$|https://info.classicalconversations.com/cc-near-me| [R=302, L]|
No description|^(?i)bizkidz-expo-2022/?$|https://info.classicalconversations.com/bizkidz-expo-2022| [R=302, L]|
No description|^(?i)founders-2022/?$|https://info.classicalconversations.com/founders-2022| [R=302, L]|
No description|^(?i)roi/?$|https://sites.google.com/view/life-time-value/home| [R=302, L]|
No description|^(?i)25years/?$|https://info.classicalconversations.com/25years| [R=302, L]|
No description|^(?i)ca-advocate/?$|https://info.classicalconversations.com/ca-advocate| [R=302, L]|
No description|^(?i)ahg-2022/?$|https://info.classicalconversations.com/ahg-2022| [R=302, L]|
No description|^(?i)rocked/?$|https://watch.schoolhouserocked.com/index/cc| [R=302, L]|
No description|^(?i)motb/?$|https://www.museumofthebible.org/classical-conversations-at-museum-of-the-bible| [R=302, L]|
No description|^(?i)chewv/?$|https://info.classicalconversations.com/chewv-2022| [R=302, L]|
No description|^(?i)2022-ttd/?$|https://info.classicalconversations.com/2022-ttd| [R=302, L]|
No description|^(?i)community/?$|https://classicalconversations.com/community-search/| [R=302, L]|
No description|^(?i)practicum/?$|https://ccpracticum.com/| [R=302, L]|
No description|^(?i)conference/?$|https://classicalconversationsfoundation.org/classical-conversations-national-conference/| [R=302, L]|
No description|^(?i)fpea/?$|https://info.classicalconversations.com/fpea-2022| [R=302, L]|
No description|^(?i)director/?$|https://info.classicalconversations.com/directing| [R=302, L]|
No description|^(?i)directing/?$|https://info.classicalconversations.com/directing| [R=302, L]|
No description|^(?i)tos-enroll/?$|https://info.classicalconversations.com/tos-spring-2020| [R=302, L]|
No description|^(?i)foundations/?$|https://classicalconversations.com/programs/foundations/| [R=302, L]|
No description|^(?i)scribbers/?$|https://classicalconversations.com/programs/scribblers/| [R=302, L]|
No description|^(?i)essentials/?$|https://classicalconversations.com/programs/essentials/| [R=302, L]|
No description|^(?i)challenge/?$|https://classicalconversations.com/programs/challenge/| [R=302, L]|
No description|^(?i)challenge-i/?$|https://classicalconversations.com/programs/challenge/challenge-i/| [R=302, L]|
No description|^(?i)challenge-ii/?$|https://classicalconversations.com/programs/challenge/challenge-ii/| [R=302, L]|
No description|^(?i)challenge-iii/?$|https://classicalconversations.com/programs/challenge/challenge-iii/| [R=302, L]|
No description|^(?i)challenge-iv/?$|https://classicalconversations.com/programs/challenge/challenge-iv/| [R=302, L]|
No description|^(?i)master/?$|https://classicalconversationsplus.com/maprogram/| [R=302, L]|
No description|^(?i)masters/?$|https://classicalconversationsplus.com/maprogram/| [R=302, L]|
No description|^(?i)homeschool-preschool-curriculum/?$|https://classicalconversations.com/blog/homeschool-preschool-curriculum/| [R=302, L]|
No description|^(?i)homeschool-curriculum/?$|https://classicalconversations.com/blog/homeschool-curriculum/| [R=302, L]|
No description|^(?i)what-is-common-core-curriculum-and-why-should-you-care/?$|https://classicalconversations.com/blog/what-is-common-core-curriculum/| [R=302, L]|
No description|^(?i)benefits-homeschooling/?$|https://classicalconversations.com/blog/benefits-of-homeschooling/| [R=302, L]|
No description|^(?i)kindergarten-homeschool-curriculum/?$|https://classicalconversations.com/blog/kindergarten-homeschool-curriculum/| [R=302, L]|
No description|^(?i)classical-homeschool-curriculum/?$|https://classicalconversations.com/blog/classical-homeschool-curriculum/| [R=302, L]|
No description|^(?i)best-homeschool-programs/?$|https://classicalconversations.com/blog/best-homeschool-programs/| [R=302, L]|
No description|^(?i)classical-homeschool-curriculum/?$|https://classicalconversations.com/blog/classical-homeschool-curriculum/| [R=302, L]|
No description|^(?i)homeschool-bible-curriculum-with-a-surprising-approach/?$|https://classicalconversations.com/blog/homeschool-bible-curriculum-with-a-surprising-approach/| [R=302, L]|
No description|^(?i)homeschool-science-curriculum-what-options-are-available/?$|https://classicalconversations.com/blog/homeschool-science-curriculum-what-options-are-available/| [R=302, L]|
No description|^(?i)pros-and-cons-of-homeschooling/?$|https://classicalconversations.com/blog/pros-and-cons-of-homeschooling/| [R=302, L]|
No description|^(?i)what-is-rhetoric/?$|https://classicalconversations.com/blog/what-is-rhetoric/| [R=302, L]|
No description|^(?i)saxon-math-for-homeschool-discover-the-benefits-for-your-child/?$|https://classicalconversations.com/blog/saxon-math-for-homeschool-discover-the-benefits-for-your-child/| [R=302, L]|
No description|^(?i)homeschooling-pros-and-cons-is-homeschooling-right-for-your-children/?$|https://classicalconversations.com/blog/homeschooling-pros-and-cons| [R=302, L]|
No description|^(?i)problems-with-common-core-that-need-attention/?$|https://classicalconversations.com/blog/problems-with-common-core-that-need-attention/| [R=302, L]|
No description|^(?i)elements-that-make-up-the-best-homeschool-curriculum/?$|https://classicalconversations.com/blog/elements-that-make-up-the-best-homeschool-curriculum/| [R=302, L]|
No description|^(?i)high-school-homeschool-curriculum/?$|https://classicalconversations.com/blog/high-school-homeschool-curriculum/| [R=302, L]|
No description|^(?i)homeschool-vs-public-school/?$|https://classicalconversations.com/blog/homeschool-vs-public-school/| [R=302, L]|
No description|^(?i)choosing-curriculum/?$|https://classicalconversations.com/blog/choose-homeschool-curriculum/| [R=302, L]|
No description|^(?i)becoming-a-memory-master/?$|https://classicalconversations.com/blog/becoming-a-memory-master/| [R=302, L]|
No description|^(?i)earn-your-master-of-classical-education-degree-big-announcement/?$|https://classicalconversations.com/blog/homeschool-and-earn-your-masters-degree/| [R=302, L]|
No description|^(?i)what-is-protocol/?$|https://classicalconversations.com/blog/what-is-protocol/| [R=302, L]|
No description|^(?i)terms-use/?$|https://classicalconversations.com/terms-of-use/| [R=302, L]|
No description|^(?i)cc-connected-terms-service/?$|https://classicalconversations.com/terms-of-use/| [R=302, L]|
No description|^(?i)privacy-policy/?$|https://classicalconversations.com/cc-privacy-policy/| [R=302, L]|
No description|^(?i)2022-k-12/?$|https://info.classicalconversations.com/2022-k-12| [R=302, L]|
No description|^(?i)shakespeare/?$|https://info.classicalconversations.com/shakespeare| [R=302, L]|
No description|^(?i)thsc-allen-2022/?$|https://info.classicalconversations.com/thsc-allen-2022| [R=302, L]|
No description|^(?i)thsc-woodlands-2022/?$|https://info.classicalconversations.com/thsc-woodlands-2022| [R=302, L]|
No description|^(?i)afhe-2022/?$|https://info.classicalconversations.com/afhe-2022| [R=302, L]|
No description|^(?i)nchethrive-2022/?$|https://info.classicalconversations.com/nchethrive-2022| [R=302, L]|
No description|^(?i)2022-blogs/?$|https://info.classicalconversations.com/2022-blogs| [R=302, L]|
No description|^(?i)2022-heav/?$|https://info.classicalconversations.com/2022-heav| [R=302, L]|
No description|^(?i)we_care1/?$|https://info.classicalconversations.com/we_care1| [R=302, L]|
No description|^(?i)clt/?$|https://info.cltexam.com/classicalconversations?utm_source=classical-conversations&utm_medium=traditional&utm_campaign=jan-2022-practicum-handout| [R=302, L]|
No description|^(?i)2022-ark/?$|https://info.classicalconversations.com/2022-ark| [R=302, L]|
